"Munic_Dept","actG1","actG2","actG3","actG4","actG5","actG6","actG7","actG8","actG9","actG10","actG11","Poblacion_Total"
5088,0.352941176470588,0.7,0.842105263157895,0.714285714285714,0.8,0.75,0,0.454545454545455,0.625,0.75,1,55707100
8001,0.578947368421053,0.55,0.882352941176471,0.25,0.5,0.8,1,0.684210526315789,0.727272727272727,0.631578947368421,0.818181818181818,131016300
11001,0.705882352941177,0.739130434782609,0.5,0.571428571428571,0.769230769230769,0.846153846153846,1,0.8,0.666666666666667,0.4375,0.625,787331600
25307,0.288461538461538,0.633333333333333,0.777777777777778,0,0,0.916666666666667,0.636363636363636,0,0.714285714285714,0.75,0.5,11548200
25754,0.25,0.541666666666667,0.833333333333333,0.875,0.75,0.6875,1,0.866666666666667,0.666666666666667,0.818181818181818,0.5,75811300
25899,0.857142857142857,0.769230769230769,0.75,0.666666666666667,0.7,1,1,0.733333333333333,1,0.9,0,15050700
41001,0.222222222222222,0.363636363636364,1,1,0.9375,1,1,0.941176470588235,1,0.645161290322581,0.625,37566000
66001,0.48,0.631578947368421,0.666666666666667,0.666666666666667,0.6,0.666666666666667,0.666666666666667,1,1,0.571428571428571,0,48073900
68001,0.285714285714286,0.6,0.9,0.952380952380952,0.8,0.875,0.571428571428571,0.75,1,0.846153846153846,1,61012500
73001,0.307692307692308,0.5,0.8,0.111111111111111,0.5,0.444444444444444,0.8,0.333333333333333,0.857142857142857,0.666666666666667,0.666666666666667,53974500
